team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season
frc1075,1520,1,1,0,0,17,0.058823529411764705
frc1076,1610,0,0,0,0,9,0.0
frc1080,1504,0,0,0,0,4,0.0
frc1086,1504,8,2,3,1,18,0.4444444444444444
frc1089,1619,1,0,0,0,18,0.05555555555555555
frc1091,1529,0,0,0,0,18,0.0
frc1094,1596,0,0,0,0,17,0.0
frc1099,1588,2,0,1,1,18,0.1111111111111111
frc1100,1644,1,0,1,0,18,0.05555555555555555
frc1102,1747,2,2,0,0,18,0.1111111111111111
frc1108,1436,1,0,0,1,18,0.05555555555555555
frc1111,1529,1,0,1,0,18,0.05555555555555555
frc1114,1871,34,20,13,1,18,1.8888888888888888
frc1123,1479,1,0,0,0,18,0.05555555555555555
frc1124,1400,5,3,0,2,18,0.2777777777777778
frc1126,1589,5,2,2,1,18,0.2777777777777778
frc1138,1569,3,2,0,1,18,0.16666666666666666
frc1143,1579,1,1,0,0,18,0.05555555555555555
frc1144,1448,0,0,0,0,9,0.0
frc1153,1646,0,0,0,0,18,0.0
frc1155,1610,1,0,1,0,18,0.05555555555555555
frc1156,1544,6,2,4,0,18,0.3333333333333333
frc1157,1462,0,0,0,0,18,0.0
frc1159,1522,0,0,0,0,18,0.0
frc1160,1543,0,0,0,0,18,0.0
frc1164,1512,0,0,0,0,17,0.0
frc1165,1496,2,0,0,2,17,0.11764705882352941
frc1168,1529,1,0,0,1,18,0.05555555555555555
frc1178,1514,0,0,0,0,18,0.0
frc1188,1643,3,0,0,3,17,0.17647058823529413
frc1189,1582,1,1,0,0,18,0.05555555555555555
frc1197,1616,3,2,0,1,18,0.16666666666666666
frc1208,1562,4,2,0,2,18,0.2222222222222222
frc1209,1438,0,0,0,0,18,0.0
frc1212,1496,1,0,0,1,18,0.05555555555555555
frc1218,1684,8,2,5,1,18,0.4444444444444444
frc1225,1475,1,1,0,0,17,0.058823529411764705
frc1228,1513,1,0,0,1,18,0.05555555555555555
frc1230,1404,1,0,0,1,17,0.058823529411764705
frc1241,1761,9,5,3,1,17,0.5294117647058824
frc1243,1563,2,1,1,0,17,0.11764705882352941
frc1245,1588,0,0,0,0,17,0.0
frc1246,1546,0,0,0,0,16,0.0
frc1247,1510,0,0,0,0,17,0.0
frc1248,1495,0,0,0,0,17,0.0
frc1250,1613,0,0,0,0,17,0.0
frc1251,1546,5,2,1,2,17,0.29411764705882354
frc1254,1520,2,1,1,0,17,0.11764705882352941
frc1255,1507,1,0,0,1,17,0.058823529411764705
frc1257,1588,3,1,0,2,15,0.2
frc1258,1564,0,0,0,0,17,0.0
frc1259,1693,2,2,0,0,17,0.11764705882352941
frc1261,1598,7,3,3,1,17,0.4117647058823529
frc1262,1594,3,1,2,0,17,0.17647058823529413
frc1266,1487,1,1,0,0,17,0.058823529411764705
frc1277,1621,0,0,0,0,17,0.0
frc1279,1632,2,0,0,2,17,0.11764705882352941
frc1280,1446,2,1,0,1,17,0.11764705882352941
frc1285,1656,2,1,1,0,7,0.2857142857142857
frc1287,1581,1,0,1,0,17,0.058823529411764705
frc1288,1527,0,0,0,0,17,0.0
frc1289,1514,1,0,0,1,17,0.058823529411764705
frc1290,1432,0,0,0,0,17,0.0
frc1293,1573,0,0,0,0,17,0.0
frc1294,1531,0,0,0,0,17,0.0
frc1296,1608,3,2,1,0,17,0.17647058823529413
frc1303,1427,0,0,0,0,17,0.0
frc1305,1680,5,1,4,0,17,0.29411764705882354
