preChamps,match_key,r1,r2,r3,b1,b2,b3,winner
1,2019arli_qm69,frc6855,frc7483,frc7896,frc7798,frc7075,frc5006,1
1,2019arli_qm7,frc7467,frc6131,frc7075,frc4336,frc6640,frc6404,1
1,2019arli_qm70,frc5568,frc5437,frc7255,frc6640,frc2992,frc4576,1
1,2019arli_qm71,frc2357,frc7106,frc3946,frc323,frc1939,frc7804,1
1,2019arli_qm72,frc7430,frc2164,frc3616,frc7263,frc5809,frc6131,0
1,2019arli_qm73,frc5729,frc4336,frc5454,frc4603,frc7767,frc7766,1
1,2019arli_qm74,frc7467,frc7459,frc7878,frc7568,frc7842,frc4087,1
1,2019arli_qm75,frc6055,frc7702,frc7910,frc6404,frc3039,frc6586,1
1,2019arli_qm76,frc7655,frc3011,frc7123,frc7868,frc1723,frc3937,1
1,2019arli_qm77,frc6186,frc7908,frc6886,frc6840,frc1982,frc7846,1
1,2019arli_qm78,frc5002,frc3991,frc5437,frc5965,frc7483,frc4603,1
1,2019arli_qm79,frc5006,frc4087,frc323,frc7842,frc6640,frc7263,0
1,2019arli_qm8,frc7896,frc2992,frc7655,frc7459,frc7846,frc7702,1
1,2019arli_qm80,frc7702,frc7467,frc6855,frc3616,frc7106,frc7766,1
1,2019arli_qm81,frc2357,frc7804,frc3011,frc7430,frc7896,frc2080,1
1,2019arli_qm82,frc7846,frc5454,frc7767,frc7568,frc6055,frc1723,1
1,2019arli_qm83,frc7910,frc7255,frc4336,frc5809,frc7868,frc5002,0
1,2019arli_qm84,frc3937,frc6586,frc5568,frc6186,frc6131,frc1939,0
1,2019arli_qm85,frc7459,frc7075,frc7908,frc2164,frc6886,frc5965,1
1,2019arli_qm86,frc6404,frc7798,frc7655,frc4576,frc6840,frc3946,0
1,2019arli_qm87,frc3039,frc2992,frc1982,frc7123,frc7878,frc5729,0
1,2019arli_qm9,frc5568,frc7842,frc7106,frc5729,frc3011,frc3946,1
1,2019arli_sf1m1,frc3937,frc5006,frc1982,frc7767,frc4087,frc4603,1
1,2019arli_sf1m2,frc3937,frc5006,frc1982,frc7767,frc4087,frc4603,1
1,2019arli_sf2m1,frc1939,frc323,frc6131,frc2992,frc3039,frc2080,1
1,2019arli_sf2m2,frc1939,frc323,frc6131,frc2992,frc3039,frc2080,1
1,2019ausc_f1m1,frc4613,frc5985,frc7583,frc5451,frc6986,frc7593,0
1,2019ausc_f1m2,frc4613,frc5985,frc7583,frc5451,frc6986,frc7593,0
1,2019ausc_qf1m1,frc4613,frc5985,frc7583,frc5449,frc7523,frc7124,0
1,2019ausc_qf1m2,frc4613,frc5985,frc7583,frc5449,frc7523,frc7124,1
1,2019ausc_qf1m3,frc4613,frc5985,frc7583,frc5449,frc7523,frc7124,0
1,2019ausc_qf2m1,frc4253,frc7433,frc3881,frc7526,frc4774,frc6083,0
1,2019ausc_qf2m2,frc4253,frc7433,frc3881,frc7526,frc4774,frc6083,1
1,2019ausc_qf2m3,frc4253,frc7433,frc3881,frc7526,frc4774,frc6083,0
1,2019ausc_qf3m1,frc6510,frc7130,frc6050,frc6579,frc5593,frc3132,1
1,2019ausc_qf3m2,frc6510,frc7130,frc6050,frc6579,frc5593,frc3132,0
1,2019ausc_qf3m3,frc6510,frc7130,frc6050,frc6579,frc5593,frc3132,0
1,2019ausc_qf4m1,frc5451,frc6986,frc7593,frc7527,frc6434,frc4817,0
1,2019ausc_qf4m2,frc5451,frc6986,frc7593,frc7527,frc6434,frc4817,0
1,2019ausc_qm1,frc6510,frc7641,frc5516,frc4613,frc7644,frc7278,1
1,2019ausc_qm10,frc7163,frc5308,frc5451,frc6083,frc4613,frc7526,1
1,2019ausc_qm11,frc6510,frc6434,frc7130,frc7433,frc6050,frc7128,0
1,2019ausc_qm12,frc7124,frc4801,frc3881,frc7593,frc4774,frc7636,1
1,2019ausc_qm13,frc6191,frc7023,frc5593,frc6986,frc4802,frc6520,1
1,2019ausc_qm14,frc7526,frc7583,frc7527,frc3132,frc6996,frc6050,0
1,2019ausc_qm15,frc6579,frc7124,frc7636,frc5308,frc7641,frc7128,0
1,2019ausc_qm16,frc4802,frc6434,frc6191,frc4253,frc7593,frc7523,1
1,2019ausc_qm17,frc7130,frc7719,frc5516,frc7023,frc6083,frc7163,0
1,2019ausc_qm18,frc7632,frc6510,frc7583,frc5451,frc6520,frc5985,1
1,2019ausc_qm19,frc4774,frc3132,frc5449,frc6986,frc7278,frc7433,1
1,2019ausc_qm2,frc7526,frc4802,frc7632,frc7523,frc4801,frc7527,1
1,2019ausc_qm20,frc4801,frc4817,frc7644,frc5593,frc3881,frc4613,1
1,2019ausc_qm21,frc4253,frc7636,frc5516,frc6050,frc6083,frc5451,1
1,2019ausc_qm22,frc7719,frc7641,frc7526,frc7130,frc7632,frc7124,1
1,2019ausc_qm23,frc4613,frc5449,frc7593,frc3132,frc5593,frc7128,1
1,2019ausc_qm24,frc6579,frc7527,frc7163,frc5308,frc6510,frc6191,0
1,2019ausc_qm25,frc7644,frc7583,frc3881,frc7278,frc5985,frc6434,1
1,2019ausc_qm26,frc6996,frc7023,frc4802,frc4817,frc4774,frc7433,1
